¿Quién dijo: 'yo solo sé que no sé nada'?,socrates
¿Qué órgano del cuerpo produce la insulina?,pancreas
¿Qué estilo arquitectonico es la catedral de Notre Dame?,gotico
¿Completa 'La energía no se crea ni se destruye, solo se...'?,transforma
¿Cuantos estados de la materia existen?,tres
¿Quién pintó 'La última cena',leonardo davinci
¿Cuál es el ingridiente principal de los chilaquiles?,tortillas
¿Que edificio trepó KingKong?,empire state
¿Cual es el pueblo ficticio descrito en 100 años de soledad,de García Márquez?,macondo
¿Cuál fue el primer integrante de los Beatles que murió?,john lennon
